Season,State_Name,Crop,Production
Whole Year,Kerala,Black pepper,971530.11
Rabi,Uttarakhand,Potato,969677.00
Whole Year,Tamil Nadu,Potato,959216.00
Whole Year,Andhra Pradesh,Orange,955677.00
Rabi,Tamil Nadu,Groundnut,950440.00
Kharif,Madhya Pradesh,Other Kharif pulses,949111.00
Whole Year,Kerala,Cashewnut,948395.22
Whole Year,West Bengal,Sesamum,947765.00
Rabi,Andhra Pradesh,Tomato,947277.00
Summer,Maharashtra,Rice,939836.00
Whole Year,Uttar Pradesh,Tobacco,937601.00
Whole Year,Punjab,Cotton(lint),937000.00
Rabi,Andhra Pradesh,Moong(Green Gram),934769.00
Kharif,Gujarat,Urad,933700.00
Whole Year,Karnataka,Atcanut (Raw),927250.00
Kharif,Andhra Pradesh,Jowar,920721.00
Rabi,Madhya Pradesh,Linseed,905985.02
Kharif,Chhattisgarh,Soyabean,905204.00
Kharif,Andhra Pradesh,Ragi,905062.00
Kharif,Mizoram,Rice,900213.00
Whole Year,Nagaland,Sugarcane,897140.00
Rabi,Karnataka,Safflower,891029.00
Rabi,Karnataka,Potato,882904.00
Rabi,Karnataka,Ragi,879154.00
Kharif,Meghalaya,Dry ginger,877024.00
Kharif,Uttarakhand,Total foodgrain,873219.00
Whole Year,Tamil Nadu,Ragi,872915.00
Rabi,Andhra Pradesh,Tobacco,846951.00
Rabi,West Bengal,Masoor,841460.00
Kharif,Karnataka,Dry ginger,832184.00
Whole Year,Tripura,Sugarcane,820546.00
Rabi,Madhya Pradesh,Peas & beans (Pulses),818218.00
Kharif,Bihar,Arhar/Tur,817139.00
Kharif,Karnataka,Dry chillies,815665.00
Autumn,Odisha,Paddy,812852.00
Whole Year,Madhya Pradesh,Rapeseed &Mustard,804849.00
Whole Year,Madhya Pradesh,Dry chillies,804394.01
Rabi,Punjab,Rapeseed &Mustard,791700.00
Whole Year,Rajasthan,Potato,791486.00
Whole Year,Haryana,Onion,789400.00
Whole Year,Madhya Pradesh,Coriander,781843.02
Summer,Odisha,Groundnut,775354.60
Whole Year,Himachal Pradesh,Potato,760686.00
Whole Year,Karnataka,Black pepper,756017.80
Kharif,Assam,Orange,743297.00
Whole Year,Arunachal Pradesh,Dry ginger,739471.00
Whole Year,Assam,Arecanut,735894.00
Rabi,Gujarat,Jowar,722300.00
Kharif,Rajasthan,Urad,717966.00
Whole Year,Karnataka,Mango,714735.00
Whole Year,Bihar,Sweet potato,712906.00
Rabi,Uttar Pradesh,Other  Rabi pulses,705965.00
Whole Year,Arunachal Pradesh,Oilseeds total,705464.00
Winter,Jharkhand,Potato,701773.52
Rabi,Uttarakhand,Total foodgrain,700620.00
Kharif,Uttarakhand,Small millets,690884.00
Kharif,Maharashtra,Other Kharif pulses,687460.00
Whole Year,Uttarakhand,Potato,686114.00
Whole Year,Tamil Nadu,Urad,685364.00
Autumn,West Bengal,Maize,674258.00
Kharif,Telangana,Onion,670841.00
Kharif,Karnataka,Sesamum,664358.00
Whole Year,Haryana,Other Vegetables,664300.00
Rabi,Jharkhand,Potato,663439.14
Kharif,Maharashtra,Sunflower,662472.00
Whole Year,Gujarat,Castor seed,660500.00
Whole Year,Gujarat,Maize,659000.00
Whole Year,West Bengal,Dry chillies,656874.00
Rabi,Andhra Pradesh,Sunflower,650469.00
Kharif,Meghalaya,Jute,650383.00
Kharif,Tamil Nadu,Moong(Green Gram),643762.10
Autumn,Jharkhand,Maize,631550.15
Kharif,Chhattisgarh,Small millets,623629.00
Summer,Odisha,Moong(Green Gram),611139.00
Whole Year,Gujarat,Pulses total,610427.00
Kharif,Uttarakhand,Maize,605469.00
Whole Year,Kerala,Dry ginger,601093.82
