State_Name,Crop,Production
Bihar,Bajra,51189.00
Manipur,Other Fresh Fruits,51089.00
Tamil Nadu,Garlic,50749.00
Odisha,Other Kharif pulses,50621.00
Tripura,Maize,50540.00
Sikkim,Urad,50114.00
Odisha,Coriander,49907.00
Nagaland,Colocosia,49840.00
Himachal Pradesh,Urad,49390.00
Telangana,Ginger,49294.00
Sikkim,Other Kharif pulses,49095.00
Nagaland,Sesamum,48840.00
Rajasthan,Linseed,48162.00
Andaman and Nicobar Islands,Arecanut,48035.81
Dadra and Nagar Haveli,Other  Rabi pulses,47987.00
Odisha,Linseed,47699.00
Nagaland,Sweet potato,46990.00
Karnataka,Mesta,46753.00
Nagaland,Other Kharif pulses,46740.00
Himachal Pradesh,Onion,46389.00
Rajasthan,Sweet potato,45534.00
West Bengal,Small millets,45255.00
Jharkhand,Rapeseed &Mustard,44528.11
Himachal Pradesh,Rapeseed &Mustard,43406.00
Tamil Nadu,Varagu,43322.00
Chhattisgarh,Barley,43205.00
Andhra Pradesh,Other Kharif pulses,42719.00
Meghalaya,Wheat,42192.00
Maharashtra,Rapeseed &Mustard,41722.50
West Bengal,Linseed,41598.00
Assam,Black pepper,41063.00
Madhya Pradesh,Papaya,40761.00
Jammu and Kashmir,Urad,40753.30
Bihar,Dry chillies,40508.00
Odisha,Jowar,40401.00
Gujarat,Small millets,40300.00
Nagaland,Barley,39740.00
Chhattisgarh,Garlic,39687.00
Bihar,Garlic,39513.00
Chandigarh,Wheat,39465.00
Bihar,Sesamum,39188.00
Andhra Pradesh,Other  Rabi pulses,38821.00
Arunachal Pradesh,Rapeseed &Mustard,38730.00
Manipur,Cabbage,37958.00
Arunachal Pradesh,Turmeric,37605.00
West Bengal,Arhar/Tur,37483.00
Meghalaya,Small millets,37446.00
Haryana,Garlic,37400.00
Chhattisgarh,Mesta,35907.00
Andhra Pradesh,Cowpea(Lobia),35527.00
Arunachal Pradesh,Pulses total,35498.00
Nagaland,Sunflower,35130.00
Andhra Pradesh,Dry ginger,34838.00
Telangana,Cashewnut,34572.00
Telangana,Bhindi,34510.00
Chhattisgarh,Ragi,34285.00
Bihar,Turmeric,34168.00
West Bengal,Garlic,33728.00
Karnataka,Coriander,33380.00
Telangana,Coriander,32973.00
Manipur,Dry ginger,32580.00
Karnataka,Cashewnut Raw,32375.00
